group_id,word,part_of_speech,meaning_en,meaning_th,examples,synonyms,antonyms,word_forms,difficulty,frequency
5,Abatement,Noun,The action of lessening or reducing something.,การลดลง,The government is working on noise and pollution abatement.<br>The company's new technology allows for pollution abatement.<br>He is in charge of a project for environmental abatement., - , - ,abate, advanced,low
9,Abdominal,Adjective,Relating to or located in the abdomen.,เกี่ยวกับช่องท้อง,She complained of severe abdominal pain after the meal.<br>The doctor performed an abdominal examination.<br>Abdominal muscles are important for core strength., - , - ,abdomen, advanced,low
7,Abuse,Noun,The improper use of something.,การใช้ในทางที่ผิด,The report highlighted human rights abuses.<br>Drug abuse is a major public health issue.<br>We need to prevent the abuse of power., - , - , - , intermediate,high
3,Academic,Adjective,"Relating to education, especially at a college or university level.","เกี่ยวกับวิชาการ,ทางการศึกษา",The university has a strong academic reputation.<br>He decided to pursue an academic career.<br>Academic success is not the only measure of intelligence., - , - , academician,intermediate,high
3,Academician,Noun,A person who is a member of an academy or learned society.,นักวิชาการ,He is a respected academician in his field.<br>The group of academicians met to discuss the new theory.<br>The university is a home for many famous academicians., - , - ,-,advanced,low
7,Accelerate,Verb,"To increase in rate, amount, or extent.",เร่งความเร็ว,"Climate change is accelerating, leading to more frequent extreme weather events.<br>Technological innovation can accelerate economic development.<br>The government needs to accelerate its efforts to reduce poverty.", - , - , - , intermediate,high
3,Accreditation,Noun,The action or process of officially recognizing someone as having a particular status or being qualified to perform a particular activity.,การรับรองวิทยฐานะ,The program's accreditation ensures a high standard of education.<br>The hospital is seeking accreditation from a national board.<br>This degree has an international accreditation., - , - , accredited,advanced,medium
3,Accredited,Adjective,Officially recognized or authorized.,ที่ได้รับการรับรอง,The program is accredited by the national board of education.<br>He is an accredited professional in his field.<br>The university is an accredited institution., - , - ,accreditation, intermediate,medium
5,Acid rain,Phrase,Rain that is unusually acidic due to atmospheric pollutants.,ฝนกรด,Acid rain can damage forests and lakes.<br>The factory's emissions are contributing to acid rain.<br>Acid rain is a consequence of air pollution., - , - ,acidic, intermediate,high
5,Acidification,Noun,The process of becoming more acidic.,การเป็นกรด,Ocean acidification is a major threat to marine life.<br>The acidification of the soil is a problem for farmers.<br>The report discusses the acidification of the lakes., - , - , alkaline,advanced,low
2,Acquisition,Noun,"An asset or object bought or obtained, typically by a library or museum.",การเข้าซื้อกิจการ,The company's latest acquisition will expand its market share.<br>The acquisition of the smaller firm cost millions.<br>They are planning a hostile acquisition., - , - , - ,intermediate,medium
9,Acute,Adjective,(Of a disease or condition) present or experienced to a severe or intense degree.,เฉียบพลัน,He was rushed to the hospital with acute appendicitis.<br>The patient suffered from acute dehydration.<br>The condition can cause acute pain., - , - , - , intermediate,high
